episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
64,1160.0,887,38315,0.2,0.05963884400229109,148.74688599799993,True,False
65,140.0,489,38804,0.2,0.06416014567532433,150.5033477499992,True,False
66,530.0,538,39342,0.2,0.059687669500152564,152.43816569199953,True,False
67,700.0,540,39882,0.2,0.060445575388493364,154.3941833309991,True,False
68,290.0,426,40308,0.2,0.0727635475972267,155.97090657899935,True,False
69,460.0,465,40773,0.2,0.06702452499804826,158.07002771099997,True,False
70,500.0,483,41256,0.2,0.07092912900761879,160.14996716899986,True,False
71,580.0,503,41759,0.2,0.06635937836766242,161.9575302029998,True,False
72,450.0,509,42268,0.2,0.07379269695229596,163.81874890199924,True,False
73,720.0,648,42916,0.2,0.07320754248993816,166.1046644119997,True,False
74,470.0,495,43411,0.2,0.07781796115715571,167.89068416399914,True,False
75,370.0,456,43867,0.2,0.07367932191935547,169.7128656219993,True,False
76,570.0,547,44414,0.2,0.07107463571494513,174.39836439599912,True,False
77,220.0,379,44793,0.2,0.07545074030364815,175.822862215,True,False
78,910.0,915,45708,0.2,0.07448401463148896,178.98451698199915,True,False
79,320.0,435,46143,0.2,0.07133829095228403,180.5887466159993,True,False
80,1260.0,856,46999,0.2,0.07714968598143102,184.1186922449997,True,False
81,430.0,448,47447,0.2,0.08839312042774898,185.9623359219995,True,False
82,200.0,335,47782,0.2,0.07682126057555988,187.22294431599948,True,False
83,610.0,634,48416,0.2,0.07498051159950735,189.46861432899914,True,False
84,590.0,537,48953,0.2,0.07647602685463073,191.3939521659995,True,False
85,1170.0,598,49551,0.2,0.0838402941160454,193.55337358499946,True,False
86,1200.0,979,50530,0.2,0.07916660730784036,197.6203101329993,True,False
87,630.0,494,51024,0.2,0.07990539425443258,199.4103726839994,True,False
88,350.0,467,51491,0.2,0.09131382281313939,201.0943200749998,True,False
89,360.0,453,51944,0.2,0.08567874493044719,202.74523928899998,True,False
90,300.0,611,52555,0.2,0.09289381676353514,204.9148179039994,True,False
91,650.0,724,53279,0.2,0.08417776804314463,207.4307663869995,True,False
92,300.0,385,53664,0.2,0.07476452860942821,209.25828291299968,True,False
93,320.0,456,54120,0.2,0.0804640945177852,211.21757442299986,True,False
94,470.0,509,54629,0.2,0.08591649418799427,213.07553722199918,True,False
95,520.0,496,55125,0.2,0.08991061489758713,214.87785995099966,True,False
96,820.0,679,55804,0.2,0.08411328016287263,217.27350810899952,True,False
97,770.0,599,56403,0.2,0.08709520747222556,219.4019878879999,True,False
98,680.0,652,57055,0.2,0.07999536238519327,222.14383243699922,True,False
99,370.0,519,57574,0.2,0.09233722309223734,224.32306478399914,True,False
100,400.0,469,58043,0.2,0.08609452221988358,226.00789912299933,True,False
